"","Date","Price","bing_score","nrc_score.x","Afinn_score.x","Price2"
"102",2010-06-09,-0.465387251542151,3,3,1,8.27416038382454
"103",2010-06-10,-0.376285126799178,1,1,1,8.7960442573191
"104",2010-06-15,-0.244688142563398,5,1,4,9.56682659355724
"105",2010-06-17,0.0610006854009599,1,0,2,11.3572897287771
"106",2010-06-21,0.199451679232352,1,3,0,12.1682169783609
"107",2010-06-22,0.137765592871831,0,2,3,11.8069127582493
"108",2010-06-24,-0.261137765592871,1,1,0,9.47047880152747
"109",2010-06-28,-0.0568882796435908,1,0,3,10.6667972192304
"110",2010-07-01,-0.732693625771075,1,0,0,6.70850876334084
"111",2010-07-02,-0.729952021932831,3,3,9,6.72456672867914
"112",2010-07-06,-0.547635366689513,-1,-1,0,7.79242142367571
"113",2010-07-14,-0.0610006854009599,-1,0,4,10.6427102712229
"114",2010-07-19,-0.107607950651129,2,1,3,10.369724860472
"115",2010-07-20,-0.104866346812885,2,4,6,10.3857828258102
"116",2010-07-29,0.209047292666209,3,0,6,12.2244198570449
"117",2010-07-30,0.0582590815627144,0,0,0,11.3412317634388
"118",2010-08-04,0.916381082933517,-2,0,-4,16.3673749143249
"119",2010-08-09,0.612063056888282,0,1,0,14.5849407617742
"120",2010-08-12,-0.0610006854009599,5,4,7,10.6427102712229
"121",2010-08-19,-0.306374228923919,1,1,6,9.20552237344562
"122",2010-08-23,-0.547635366689513,-1,1,-2,7.79242142367571
"123",2010-08-24,-0.886223440712818,1,0,4,5.80926270439635
"124",2010-08-26,-0.352981494174092,-2,1,1,8.93253696269461
"125",2010-08-30,-0.140507196710074,3,0,3,10.1770292764124
"126",2010-08-31,-0.2145305003427,1,0,7,9.74346421227848
"127",2010-09-01,-0.211788896504454,0,-1,3,9.75952217761677
"128",2010-09-02,-0.294037011651815,3,1,0,9.27778321746793
"129",2010-09-07,-0.177518848526387,2,2,4,9.96024674434545
"130",2010-09-09,0.108978752570255,0,0,0,11.6383041221972
"131",2010-09-14,0.248800548320768,1,2,8,12.4572603544502
"132",2010-09-15,0.189856065798492,2,4,5,12.1120140996769
"133",2010-09-16,0.248800548320768,1,0,3,12.4572603544502
"134",2010-09-17,0.0486634681288569,0,0,0,11.2850288847547
"135",2010-09-23,0.084304318026045,0,1,-1,11.4937824341525
"136",2010-09-24,0.226867717614805,0,0,0,12.3287966317439
"137",2010-09-30,0.506511309115833,1,1,3,13.9667090962499
"138",2010-10-01,0.769705277587389,0,1,0,15.5082737687261
"139",2010-10-06,1.08773132282385,2,3,5,17.3709977479683
"140",2010-10-07,0.904043865661413,4,2,8,16.2951140703026
"141",2010-10-14,0.88759424263194,2,-1,3,16.1987662782728
"142",2010-10-21,0.576422206991091,0,0,2,14.3761872123764
"143",2010-10-27,0.575051405071967,1,2,1,14.3681582297072
"144",2010-10-28,0.808087731322825,2,0,6,15.7330852834623
"145",2010-11-03,1.13159698423578,1,0,0,17.627925193381
"146",2010-11-04,1.33721727210418,0,0,2,18.8322725937531
"147",2010-11-11,1.50856751199452,0,3,1,19.8358954273965
"148",2010-11-15,1.15352981494174,0,0,0,17.7563889160873
"149",2010-11-18,0.908156271418781,1,1,3,16.31920101831
"150",2010-11-22,0.721727210418096,2,4,8,15.227259375306
"151",2010-11-24,1.02193283070596,2,4,10,16.9856065798492
"152",2010-11-29,1.20973269362577,1,0,5,18.0855772055224
"153",2010-12-02,1.68540095956135,1,1,6,20.8716341917165
"154",2010-12-09,1.76216586703222,1,0,7,21.3212572211887
"155",2010-12-10,1.70870459218643,2,-2,9,21.0081268970919
"156",2010-12-13,1.82659355723098,6,3,6,21.6986194066386
"157",2010-12-14,1.8581220013708,0,1,0,21.883286008029
"158",2010-12-16,1.92117888965045,1,2,6,22.2526192108098
"159",2010-12-23,2.26936257710761,1,2,4,24.2919808087731
"160",2010-12-30,2.11446196024674,3,3,9,23.3847057671595
"161",2011-01-12,2.8492117888965,0,-1,1,27.6882404778224
"162",2011-01-13,2.8492117888965,0,-1,0,27.6882404778224
"163",2011-01-21,2.70938999314599,0,1,2,26.8692842455694
"164",2011-01-27,2.66004112405757,0,0,-1,26.5802408694801
"165",2011-01-31,3.00137080191912,0,1,2,28.5794575540977
"166",2011-02-07,3.06579849211789,1,1,2,28.9568197395476
"167",2011-02-10,3.24400274160384,2,0,10,30.0005874865368
"168",2011-02-11,3.1329677861549,0,1,0,29.3502398903359
"169",2011-02-15,3.48252227553119,0,1,0,31.3976304709684
"170",2011-02-16,3.52364633310487,2,2,8,31.6384999510428
"171",2011-02-17,3.61549006168609,1,1,0,32.1764417898756
"172",2011-02-18,3.44413982179575,0,0,0,31.1728189562323
"173",2011-02-22,4.07745030843043,1,0,0,34.8822089493783
"174",2011-02-23,4.48183687457163,0,0,0,37.2507588367767
"175",2011-02-28,4.8245373543523,1,2,1,39.2580045040635
"176",2011-03-01,4.97121315969842,0,0,0,40.1171056496622
