"","Date","Price","Text","bing_score","nrc_score","afin_score"
"57",2017-01-29,54.8," senators should focus their energies on isis illegal immigration and border security instead of always looking to start world war iii ",-1,-1,-5
"58",2017-01-29,54.8,"the joint statement of former presidential candidates john mccain amp lindsey graham is wrong they are sadly weak on immigration the two ",-3,-2,-6
"59",2017-01-29,54.8,"christians in the middle east have been executed in large numbers we cannot allow this horror to continue ",0,1,1
"60",2017-01-29,54.8,"our country needs strong borders and extreme vetting now look what is happening all over europe and indeed the world a horrible mess ",-1,-2,-3
"61",2017-01-29,54.8,"somebody with aptitude and conviction should buy the fake news and failing nytimes and either run it correctly or let it fold with dignity ",0,-1,-5
"62",2017-01-29,54.8,"i will be interviewed by thebrodyfile on cbnnews tonight at pm enjoy ",1,1,2
"63",2017-01-30,54.77,"where was all the outrage from democrats and the opposition party the media when our jobs were fleeing our country ",-3,-2,-3
"64",2017-01-30,54.77,"the democrats are delaying my cabinet picks for purely political reasons they have nothing going but to obstruct now have an obama a g ",-2,1,0
"65",2017-01-30,54.77,"if the ban were announced with a one week notice the bad would rush into our country during that week a lot of bad dudes out there ",-2,-2,-5
"66",2017-01-30,54.77,"i have made my decision on who i will nominate for the united states supreme court it will be announced live on tuesday at p m w h ",1,2,1
"67",2017-01-30,54.77,"the american dream is back we re going to create an environment for small business like we haven t had in many ma  t co bh srnegz ",0,1,3
"68",2017-01-30,54.77,"there is nothing nice about searching for terrorists before they can enter our country this was a big part of my campaign study the world ",1,1,4
"69",2017-01-30,54.77,"only people out of were detained and held for questioning big problems at airports were caused by delta computer outage ",0,0,-4
"70",2017-01-30,54.77,"protesters and the tears of senator schumer secretary kelly said that all is going well with very few problems make america safe again ",1,1,-5
"71",2017-01-31,55.25,"when will the democrats give us our attorney general and rest of cabinet they should be ashamed of themselves no wonder d c doesn t work ",-1,3,-3
"72",2017-01-31,55.25,"getting ready to deliver a very important decision p m ",1,1,2
